iter	Passed	Remaining
0	368	368223
1	450	224991
2	526	17495633	583	14529944	757	150662
5	830	13760166	923	13102077	1029	127608	8	9	1017	1009	9	1295	128251010	1446	130011111	1665	137106
12	1888	143387
13	1987	139993
14	2073	136191
15	2174	133756
16	2321	134243
17	2376	129650
18	2472	127670
19	2527	123831
20	2660	124032
21	2677	119037222	2802	119039
23	3065	124670224	3133	12221926	3081	1110426	3395	122375
27	3584	124432
28	3715	124417
29	3851	124543
30	3895	121750
31	4066	123025
32	4080	119568
3334	3961	1092234	4238	116856
3536	4154	108127
37	4267	108023738	4383	108006
39	4537	108893
40	4700	109952
41	4738	108084
42	4822	107335
43	4876	105962
44	4972	105519
45	5031	104354546	5118	103781447	5333	105787
48	5529	107317
49	5611	106613
50	5758	107148
51	5848	106627
52	6091	108848
53	6229	109138
54	6454	110892
55	6469	109054
56	6651	110046
57	6679	108483
58	6698	106839
59	6780	106222
60	6861	105620
61	6946	105093
62	6992	104006
63	7170	104865
64	7266	104526
65	7345	103954
66	7485	104232
67	7546	103430
68	7761	104720
69	7846	104245
70	7899	103355
71	7972	102756
72	8075	102553
73	8104	101416
74	8240	101636
75	8346	101473
76	8565	102670
77	8608	101758
78	8696	101384
79	8706	100129
80	8949	101533
81	9188	102861
82	9367	103497
83	9562	104282
84	9657	103962
85	9789	104040
86	9835	103217
87	10030	103950
88	10074	103121
89	10149	102624
90	10234	102235
91	10308	101737
92	10376	10120293	10651	102664
994	10617	101146995	10680	10057896	10843	100946
97	10760	99040
998	11102	101049999	11148	1003100100	11302	100101	101	11376	10102	1102	11469	9103	11481	98921
104	1104	11716	9105	1105	11810	9106	11797	98456
107	11894	98237
108	11913	97381
109	12072	97681
110	12222	97893
111	12323	97708
112	12342	96883
113	12499	97146
114	12558	96647
115	12618	96164
116	1116	12909	97429
117	13011	97258
118	13035	96507
119	13076	9120	12983	94320
121	13127	94477
122	13404	95574
123	13431	94885
124	13544	94814
125	13729	95236
126	13773	94677
127	13926	94873
128	13940	94122
129	14117	94477
130	14149	93865
131	14207	93422
132	14315	93321
133	14419	93190
134	14529	93095
135	14570	92567
136	14697	92585
137	14873	92907
138	14891	92239
